,Name,Area,Main_style,Main_instrument,Birth_decade
645,Barry Galbraith,NorthEast,Jazz,Guitar,1920s
646,Bob Cranshaw,Chicago,Jazz,Double Bass,1930s
647,Rufus Reid,South,Jazz,Double Bass,1940s
648,Steve Nelson (vibraphonist),NorthEast,Jazz,vibraphone,1950s
649,Jimmy Cobb,West,Jazz,Drums,1930s
650,Kenny Werner,New-York-City,,Piano,1950s
651,Bill Mays,,,Piano,1940s
652,Tom Harrell,Chicago,,composer,1950s
653,Don Pullen,West,Bebop,Piano,1940s
654,Paul Motian,,Bebop,Drums,1930s
655,Scott LaFaro,Chicago,Bebop,Double Bass,1940s
656,Bobby Hutcherson,West,Hard_bop,vibraphone,1940s
657,Cecil McBee,South,Jazz,Double Bass,1940s
658,Dave Holland (drummer),,Funk,Drums,1950s
659,Al Jarreau,,Soul_music,Singer,1940s
660,Robin Eubanks,NorthEast,,Trombone,1960s
661,Steve Davis (trombonist),NorthEast,,Trombone,1970s
662,James Williams (musician),South,,Piano,1950s
663,Bob Cooper (musician),NorthEast,Jazz,Clarinet,1920s
664,Oscar Brown,Chicago,Jazz,Singer,1930s
665,Peter Washington,West,Jazz,Double Bass,1960s
666,Idrees Sulieman,South,Bebop,Trumpet,1920s
667,Curley Russell,New-York-City,,Other,1920s
668,Kevin Mahogany,MidWest,,Other,1960s
669,Eric Gale,New-York-City,Pop_music,Guitar,1940s
670,Donald Harrison,,Funk,Saxophone,1960s
671,Jackie McLean,New-York-City,Bebop,Saxophone,1930s
672,Dennis Sandole,,,Guitar,1910s
673,Grachan Moncur III,New-York-City,Avant-garde_jazz,Trombone,1940s
674,Mickey Tucker,,,Piano,1940s
675,Jay Johnson (singer),,Rhythm_and_blues,Singer,
676,Butch Ballard,NorthEast,Jazz,Drums,1920s
677,Al McKibbon,Chicago,Jazz,Double Bass,1920s
678,Ray Brown Jr.,New-York-City,Blues,Piano,1950s
679,Hank Mobley,South,Hard_bop,Saxophone,1930s
680,Mike LeDonne,NorthEast,Jazz,Piano,1960s
681,http://dbpedia.org/resource/Grachan_Moncur_II,,,Other,
682,Charlie Persip,NorthEast,,Drums,1930s
683,Jymie Merritt,,,Other,1930s
684,Bruce Lundvall,NorthEast,,Other,1940s
685,Eddie Henderson (musician),New-York-City,Jazz,Trumpet,1940s
686,Dave Bailey (musician),South,,Drums,1930s
687,Spud Murphy,,,Other,1910s
688,Bobby Timmons,New-York-City,Jazz,Piano,1940s
689,Sahib Shihab,South,Jazz,Saxophone,1920s
690,Al Sears,New-York-City,,Saxophone,1910s
691,Warren Smith (jazz percussionist),Chicago,Jazz,Drums,1930s
692,Red Garland,South,Bebop,Piano,1920s
693,Bill Hardman,,,Other,1930s
694,Tom McIntosh,,,Trombone,1930s
695,King Curtis,South,Funk,Saxophone,1930s
696,Shelly Manne,New-York-City,Cool_jazz,Drums,1920s
697,Tony Reedus,New-York-City,,Other,1960s
698,Addison Farmer,New-York-City,,Double Bass,1930s
699,Odean Pope,South,Jazz,Saxophone,1940s
700,Doug Watkins,Chicago,Bebop,Double Bass,1930s
701,Carl Allen (drummer),,,Drums,1960s
702,Mulgrew Miller,NorthEast,Jazz,Piano,1960s
703,Chick Corea,NorthEast,Bebop,vibraphone,1940s
704,George Tucker (musician),New-York-City,,Other,1930s
705,Gigi Gryce,South,Jazz,Saxophone,1920s
706,Harold Mabern,South,Hard_bop,Piano,1940s
707,Ray McKinley,South,Big_band,Drums,1910s
708,Pee Wee Kirkland,,,player,1940s
709,George Handy,New-York-City,Jazz,Piano,1920s
710,Elliot Lawrence,NorthEast,Big_band_music,Piano,1920s
711,Buddy Arnold,,Swing_music,Clarinet,1930s
712,Pete Candoli,Chicago,Jazz,Trumpet,1920s
713,Eddie Daniels,New-York-City,Jazz,Clarinet,1940s
714,Pee Wee Russell,South,Bebop,Clarinet,1910s
715,Kenny Drew Jr.,New-York-City,Jazz,Piano,1960s
716,Jimmy Hamilton,South,Jazz,Clarinet,1920s
717,Pee Wee Moore,South,,Other,1930s
718,Jeff Hamilton (drummer),Chicago,Jazz,Drums,1950s
719,Frank Tiberi,NorthEast,,Other,1930s
720,Lennie Tristano,New-York-City,Bebop,Piano,1920s
721,Herb Ellis,West,Swing_music,Guitar,1920s
722,Kenny Drew,New-York-City,Hard_bop,Piano,1930s
723,Bob Bates (musician),West,,Other,1920s
724,Joe Wilder,New-York-City,Swing_music,Trumpet,1920s
725,Sonny Clark,New-York-City,Hard_bop,Piano,1930s
726,Bill Finegan,NorthEast,,Other,1920s
727,Ken Peplowski,,Swing_music,Saxophone,1960s
728,Denzil Best,New-York-City,Bebop,Drums,1920s
729,Eugene Wright,Chicago,Jazz,Double Bass,1920s
730,"http://dbpedia.org/resource/Alfred_""Pee_Wee""_Ellis",,,Other,
731,Pee Wee Erwin,NorthEast,Swing_music,Trumpet,1910s
732,Bill Smith (jazz musician),West,,Clarinet,1930s
733,Cal Tjader,MidWest,Bebop,Piano,1920s
734,Vince Guaraldi,West,Bossa_nova,Other,1930s
735,Dave Van Ronk,New-York-City,Blues,Singer,1940s
736,Turk Murphy,West,Dixieland,Trombone,1920s
737,Norman Bates (musician),West,,Other,1930s
738,Goddard Lieberson,,,Other,1910s
739,Ted Rosenthal,,,Piano,1960s
740,Lew Soloff,New-York-City,,Trumpet,1940s
741,Junior Raglin,MidWest,,Other,1920s
742,Cleo Brown,South,,Other,1910s
743,Clive Davis,New-York-City,,Other,1930s
744,Alvino Rey,West,Jazz_music,Other,1910s
745,Chris Brubeck,,,Other,1950s
746,George Masso,NorthEast,Jazz,Trombone,1930s
747,Howard Alden,West,Jazz,Guitar,1960s
748,Jake Hanna,,Jazz,Drums,1930s
749,Kenny Davern,New-York-City,Swing_music,Clarinet,1940s
750,Yank Lawson,Chicago,,Trumpet,1910s
751,Dan Barrett (musician),West,Jazz,Trombone,1960s
752,Ralph Sutton,West,Jazz,Piano,1920s
753,Artie Bernstein,New-York-City,Jazz,Double Bass,1910s
754,Matty Matlock,South,Swing_music,Clarinet,1910s
755,Tex Beneke,West,Swing_music,Saxophone,1910s
756,Ray Bauduc,,,Drums,1910s
757,Eddie Miller (jazz saxophonist),,,Other,1910s
759,Big Maybelle,South,Rhythm_and_blues,Other,1920s
760,Little Willie John,MidWest,Rhythm_and_blues,Singer,1940s
761,Little Willie Littlefield,,Rhythm_and_blues,Other,1930s
762,Oh No (musician),,Hip_hop_music,Other,1980s
763,Seymour Stein,New-York-City,,Other,1940s
764,Fred Mendelsohn,,,Other,1920s
765,Mary Ann McCall,,,Other,1920s
766,Clyde McPhatter,South,Rhythm_and_blues,Other,1930s
767,Mary Ann Redmond,,,Singer,1960s
768,Marty Paich,West,,Piano,1920s
769,Julie London,West,,Other,1930s
770,Jim Scott (musician),,,Guitar,
771,Wynonie Harris,MidWest,Swing_music,Guitar,1920s
772,Les McCann,South,,Piano,1940s
773,Alton Moore,,,Other,1910s
774,Gene Harris,Chicago,Blues,Piano,1930s
775,Tommy Newsom,South,Jazz,Clarinet,1930s
776,Earl Coleman (singer),Chicago,,Singer,1920s
777,Tom Gullion,,,Other,1960s
778,Phil Wilson (trombonist),,,Other,1940s
779,Walter Bishop Jr.,New-York-City,Jazz,Piano,1930s
780,Fred Beckett,,,Trombone,1920s
781,Bennie Green,Chicago,Jazz,Trombone,1920s
782,Freddie Webster,Chicago,,Trumpet,1920s
783,John Carisi,New-York-City,,Trumpet,1920s
784,Jimmy Coe,Chicago,,Saxophone,1920s
785,Rudy Williams,,,Saxophone,1910s
786,Larry Williams,West,Rhythm_and_blues,Piano,1940s
787,Russell Jacquet,South,,Trumpet,1920s
788,Lalo Schifrin,,Bebop,Piano,1930s
789,Wendell Logan,South,,jazz,1940s
790,Snookum Russell,New-York-City,,Piano,1910s
791,Butch Miles,,Jazz,Drums,1940s
792,Bobby Shew,,,Trumpet,1940s
793,Jon Faddis,West,Bebop,Trumpet,1950s
794,Meade Lux Lewis,Chicago,Boogie-woogie,Piano,1900s
795,Cat Anderson,West,Jazz,Trumpet,1920s
796,Gregg Bissonette,,Pop_music,Drums,1960s
797,Dave Weckl,,Jazz_fusion,Drums,1960s
798,Frank Rosolino,Chicago,Jazz,Trombone,1930s
799,Keely Smith,South,Pop_music,Singer,1930s
800,Paul Humphrey,,,jazz,1940s
801,Steve Smith (musician),NorthEast,Jazz_fusion,Drums,1950s
802,Don Abney,West,Jazz,Piano,1920s
803,"Louis Prima, Jr.",,Swing_music,Trumpet,1960s
804,Randy Brecker,NorthEast,Rhythm_and_blues,Trumpet,1940s
805,David Friedman (percussionist),New-York-City,,Drums,1940s
806,Don Lamond,South,Swing_music,Drums,1920s
807,Frank Strazzeri,New-York-City,,Piano,1930s
808,Pat LaBarbera,,Jazz,Saxophone,1940s
809,John McLaughlin (musician),,Jazz_fusion,Guitar,1940s
810,William Bell (singer),South,Rhythm_and_blues,Singer,1940s
811,Buster Cooper,South,,Other,1930s
812,Vinnie Colaiuta,NorthEast,Jazz_fusion,Drums,1960s
813,Clare Fischer,Chicago,Jazz_fusion,Other,1930s
814,Lou Levy (pianist),Chicago,Jazz,Piano,1930s
815,Steve Gadd,New-York-City,Jazz_fusion,Other,1940s
816,Conte Candoli,Chicago,Jazz,Trumpet,1930s
817,Blue Mitchell,West,Hard_bop,Trumpet,1930s
818,Sam Woodyard,NorthEast,,Other,1920s
819,Emil Richards,NorthEast,,Drums,1930s
820,Dave Barbour,New-York-City,,Other,1910s
821,Harry Carney,New-York-City,Jazz,Other,1910s
822,Virgil Donati,,Jazz_fusion,Drums,1960s
823,Russell Procope,New-York-City,,Other,1910s
824,Billy Cobham,,Jazz_fusion,Drums,1940s
825,Bob Florence,West,Jazz,Piano,1930s
826,Francisco Aguabella,,Afro-Cuban_jazz,Drums,1920s
827,John Bunch,Chicago,Jazz,Piano,1920s
828,Maceo Parker,South,Funk,Saxophone,1940s
829,Christian McBride,,Jazz_fusion,Double Bass,1970s
830,George Wettling,New-York-City,Jazz,Drums,1910s
831,Joe Pass,NorthEast,Bebop,Guitar,1930s
832,Earl Swope,,,Trombone,1920s
833,Rex Stewart,,Jazz,cornet,1910s
834,Harvey Mason,NorthEast,,Drums,1950s
835,Louis Prima,South,Swing_music,Trumpet,1910s
836,Louis Jordan,MidWest,Swing_music,Clarinet,1910s
837,Ed Thigpen,Chicago,Jazz,Drums,1930s
838,Dennis Chambers,South,Jazz_fusion,Drums,1960s
839,Buddy Childers,Chicago,Jazz,Trumpet,1930s
840,Steve Lawrence,New-York-City,Big_band,Singer,1940s
841,Mutt Carey,West,Jazz,Trumpet,1890s
842,Patti Bown,,,Other,1930s
843,Barry White,West,Soul_music,composer,1940s
844,John Clayton (bassist),West,European_classical_music,Double Bass,1950s
845,Clora Bryant,South,Jazz,Trumpet,1930s
846,Billy Preston,West,Rhythm_and_blues,Singer,1950s
847,Cool C,,Golden_age_hip_hop,Other,1970s
848,Quentin Jackson,New-York-City,,Trombone,1910s
849,Les Spann,MidWest,,Other,1930s
850,Alan Kay,NorthEast,,Other,1940s
851,Marvin Gaye,West,Rhythm_and_blues,Singer,1940s
852,Billy Byers,West,,Trombone,1930s
853,Joey DeFrancesco,NorthEast,Bebop,Other,1970s
854,Michael Cain,,,Piano,1970s
855,Herb Pomeroy,NorthEast,Jazz,Trumpet,1930s
856,Jerry Hey,,,Trumpet,1950s
857,Tommy Mottola,New-York-City,,Other,1950s
858,Floyd Smith (musician),Chicago,R&B,Guitar,1920s
859,Ray and Faye Copeland,MidWest,,Other,1920s
860,John Clark (musician),New-York-City,Jazz,player,1940s
861,Frank Rehak,New-York-City,,Other,1930s
862,Sam Jones (musician),New-York-City,Jazz,Double Bass,1920s
863,Specs Wright,,,Drums,1930s
864,Britt Woodman,West,,Trombone,1920s
865,Major Holley,NorthEast,,Other,1920s
866,Gloria Lynne,New-York-City,,Singer,1930s
867,Bardu Ali,,Jazz,Guitar,1910s
868,Willie Cook,South,,Other,1920s
869,Branford Marsalis,,Post-bop,Saxophone,1960s
870,Ronnell Bright,Chicago,,Piano,1930s
871,Sadik Hakim,New-York-City,,Piano,1920s
872,Arvell Shaw,,,Other,1920s
873,Kansas Fields,Chicago,,Other,1920s
874,Panama Francis,South,,Drums,1920s
875,Charlie Holmes,NorthEast,,Saxophone,1910s
876,Bob Shad,New-York-City,,Other,1920s
877,Don Braden,MidWest,Jazz,Saxophone,1960s
878,Gary Burton,Chicago,Hard_bop,vibraphone,1940s
879,Jack DeJohnette,Chicago,Jazz_fusion,Piano,1940s
880,Andrew Cyrille,New-York-City,Post-bop,Drums,1940s
881,Joe Benjamin,NorthEast,,Double Bass,1920s
882,Bobby Donaldson,,,Drums,1920s
883,Sun Ra,South,Bebop,composer,1910s
884,Pat Metheny,MidWest,Jazz_fusion,Guitar,1950s
885,George Treadwell,,,Trumpet,1920s
886,Rashied Ali,New-York-City,Jazz,Drums,1930s
887,Frank Strozier,South,Jazz,Saxophone,1940s
888,Peter Erskine,NorthEast,Jazz,Drums,1950s
889,Terri Lyne Carrington,NorthEast,Rhythm_and_blues,Drums,1960s
890,George Adams (musician),New-York-City,Hard_bop,Saxophone,1940s
891,Albert Dailey,,,Other,1940s
892,Milford Graves,New-York-City,Avant-garde_jazz,Drums,1940s
893,Omar Hakim,New-York-City,Jazz_fusion,Piano,1960s
894,Ran Blake,NorthEast,Jazz,Piano,1940s
895,Denardo Coleman,,,Drums,1960s
896,Bill Barber (musician),New-York-City,Swing_music,Other,1920s
897,Willie Ruff,,Jazz,Double Bass,1930s
898,Danny Bank,New-York-City,,Saxophone,1920s
899,Ed Schuller,,,Double Bass,1960s
900,Jaki Byard,New-York-City,Jazz,Piano,1920s
901,Jimmy Giuffre,NorthEast,Free_jazz,Saxophone,1920s
902,Nesuhi Ertegun,New-York-City,,Other,1920s
903,Avishai Cohen,,,Other,
904,Junior Collins,MidWest,,Other,1930s
905,Chris Columbus (musician),NorthEast,Jazz_music,Drums,1900s
906,Bobby Tucker,NorthEast,Swing_music,Piano,1920s
907,Walter Davis Jr.,New-York-City,Bebop,Piano,1930s
908,Louis Smith (musician),,,Trumpet,1930s
909,Red Mitchell,New-York-City,Jazz,"musician, composer",1930s
910,Herbie Fields,NorthEast,R&B,Clarinet,1920s
911,Joe Morris (drummer),NorthEast,Jazz_fusion,Drums,1960s
912,Alice Coltrane,Chicago,Jazz,Piano,1940s
913,Herb Alpert,West,Rhythm_and_blues,Piano,1940s
914,Elmer Snowden,NorthEast,Jazz,Guitar,1900s
915,Nat Pierce,NorthEast,Jazz,Piano,1920s
916,Joe Gordon (musician),,,Trumpet,1930s
917,Irving Ashby,West,,Other,1920s
918,Rodney Whitaker,,Jazz,Double Bass,1970s
919,Matthew Gee,New-York-City,,Trombone,1920s
920,Bobby Darin,New-York-City,Swing_music,Singer,1940s
921,Buck Ram,,,Other,1910s
922,Anthony Wilson,,,Other,
923,Calvin Jackson,,,Piano,1920s
924,Berle Adams,Chicago,,Other,1920s
925,Stix Hooper,,,Drums,1940s
926,Roger Segure,,,Other,1900s
927,Elmon Wright,,Jazz,Trumpet,1930s
928,Mark Turner (musician),MidWest,Jazz,Saxophone,1960s
929,Brian Blade,South,Jazz_fusion,Drums,1970s
930,Abdullah Ibrahim,,Bebop,Piano,1930s
931,Arif Mardin,New-York-City,,Other,1930s
932,Clarence Seay,,,Double Bass,1960s
933,Craig Handy,,Jazz,Saxophone,1960s
934,Ken Brown,,,Other,
935,Kenny Garrett,Chicago,Jazz_fusion,Saxophone,1960s
936,Jason Marsalis,South,Jazz,Drums,1980s
937,Phil Bowler,,,Other,1950s
938,Charnett Moffett,New-York-City,Post-bop,Other,1970s
939,Ira Coleman,,Jazz,Double Bass,1960s
940,Kenny Kirkland,New-York-City,Jazz_fusion,Other,1960s
941,Ellis Marsalis Jr.,,Jazz,Piano,1930s
942,Tommy Turrentine,New-York-City,,Other,1930s
943,Johnny Mathis,South,Soul_music,Singer,1940s
944,Julian Priester,Chicago,Jazz_fusion,"musician, composer",1940s
945,Mal Waldron,New-York-City,Hard_bop,Piano,1920s
946,Anita O'Day,Chicago,Bebop,Singer,1920s
947,Booker Little,New-York-City,Hard_bop,Trumpet,1940s
948,Cassandra Wilson,South,Jazz,Other,1960s
949,Stanley Turrentine,New-York-City,Bebop,Saxophone,1930s
950,Eddie Beal,,,Piano,1910s
951,Earl Gardner (musician),New-York-City,Jazz,Trumpet,1950s
952,Hugh Lawson (jazz pianist),,,Piano,1940s
953,Wilbur Harden,South,Hard_bop,Trumpet,1920s
954,Chief Bey,,,Drums,1910s
955,Shirley Scott,,Bebop,Other,1930s
956,Albert Heath,,Jazz,Drums,1940s
957,Sam Most,NorthEast,Jazz,Saxophone,1930s
958,Wilbur de Paris,Chicago,Swing_(genre),Trombone,1900s
959,John Zorn,New-York-City,Experimental_music,Clarinet,1950s
960,Jerry Dodgion,West,Jazz,Saxophone,1930s
961,Jesse Davis,,,Saxophone,1960s
962,Al Cohn,New-York-City,Big_band,Saxophone,1920s
963,Al Tinney,,,Other,1920s
964,Andy Simpkins,,Jazz,Double Bass,1930s
965,Sherman Ferguson,,Jazz,Drums,1940s
966,Jimmy Harrison,,,Other,1900s
967,Jimmy Archey,New-York-City,Swing_music,Trombone,1900s
968,Morey Feld,West,Jazz,Drums,1920s
969,Mundell Lowe,South,Soundtrack,Guitar,1920s
970,Doc Severinsen,West,Jazz,Trumpet,1930s
971,Roy Kral,Chicago,,Piano,1920s
972,Jackie Cain,NorthEast,,Other,1930s
973,Wilson Pickett,South,Rhythm_and_blues,Singer,1940s
974,Billy Drummond,,,Other,1960s
975,Al Green,MidWest,Rhythm_and_blues,Singer,1950s
976,David Murray (saxophonist),West,Avant-garde_jazz,Saxophone,1960s
977,George Cables,New-York-City,Jazz,Piano,1940s
978,Jon Jang,,,Piano,1950s
979,Roy Hamilton,New-York-City,Rhythm_and_blues,Singer,1930s
980,Ted Lewis (musician),New-York-City,Jazz,Clarinet,1890s
981,Johnny Dunn,South,,Trumpet,1900s
982,Sam Wooding,New-York-City,Jazz,Piano,1900s
